Subject,Course,Course Code,Points,Level,College
Education,Music Education,TR009,420,8,Trinity College Dublin
Humanities (except languages),History and Political Science,TR012,555,8,Trinity College Dublin
Social and behavioural sciences,"Philosophy, Political Science, Economics and Sociology",TR015,589,8,Trinity College Dublin
Languages,Deaf Studies,TR016,340,8,Trinity College Dublin
Law,Law and Business,TR017,602,8,Trinity College Dublin
Law,Law and French,TR018,565,8,Trinity College Dublin
Law,Law and German,TR019,543,8,Trinity College Dublin
Law,Law and Political Science,TR020,602,8,Trinity College Dublin
Humanities (except languages),"Classics, Ancient History and Archaeology",TR021,370,8,Trinity College Dublin
Languages,Early and Modern Irish,TR022,398,8,Trinity College Dublin
Languages,English Studies,TR023,487,8,Trinity College Dublin
Humanities (except languages),European Studies,TR024,544,8,Trinity College Dublin
Arts,Drama and Theatre Studies,TR025,564,8,Trinity College Dublin
Humanities (except languages),Ancient and Medieval History and Culture,TR028,342,8,Trinity College Dublin
Social and behavioural sciences,Political Science and Geography,TR029,526,8,Trinity College Dublin
Mathematics and statistics,Mathematics,TR031,531,8,Trinity College Dublin
Engineering and engineering trades,Engineering,TR032,510,8,Trinity College Dublin
Information and Communication Technologies (ICTs),Computer Science,TR033,509,8,Trinity College Dublin
Business and administration,Management Science and Information Systems Studies,TR034,613,8,Trinity College Dublin
Physical sciences,Theoretical Physics,TR035,543,8,Trinity College Dublin
Engineering and engineering trades,Engineering with Management,TR038,532,8,Trinity College Dublin
Information and Communication Technologies (ICTs),Computer Science and Language,TR039,454,8,Trinity College Dublin
Languages,Middle Eastern and European Languages and Cultures,TR040,466,8,Trinity College Dublin
Humanities (except languages),Religion,TR041,368,8,Trinity College Dublin
Arts,Film,TR042,489,8,Trinity College Dublin
Humanities (except languages),History of Art and Architecture,TR043,393,8,Trinity College Dublin
Health,Medicine (HPAT required),TR051,735,8,Trinity College Dublin
Health,Dental Science,TR052,613,8,Trinity College Dublin
Health,Physiotherapy,TR053,566,8,Trinity College Dublin
Health,Occupational Therapy,TR054,533,8,Trinity College Dublin
Health,Radiation Therapy,TR055,543,8,Trinity College Dublin
Health,Human Health and Disease,TR056,565,8,Trinity College Dublin
Biological and related sciences,Biological and Biomedical Sciences,TR060,543,8,Trinity College Dublin
Physical sciences,Chemical Sciences,TR061,517,8,Trinity College Dublin
Physical sciences,Geography and Geoscience,TR062,473,8,Trinity College Dublin
Physical sciences,Physical Sciences,TR063,498,8,Trinity College Dublin
Health,Pharmacy,TR072,590,8,Trinity College Dublin
Business and administration,Global Business,TR080,589,8,Trinity College Dublin
Social and behavioural sciences,"Business, Economic and Social Studies (BESS)",TR081,543,8,Trinity College Dublin
Business and administration,Computer Science and Business,TR082,555,8,Trinity College Dublin
Social and behavioural sciences,Sociology and Social Policy,TR083,498,8,Trinity College Dublin
Welfare,Social Studies (Social Work),TR084,462,8,Trinity College Dublin
Business and administration,Business Studies and French,TR085,540,8,Trinity College Dublin
Business and administration,Business Studies and German,TR086,509,8,Trinity College Dublin
Business and administration,Business Studies and Russian,TR087,474,8,Trinity College Dublin
Business and administration,Business Studies and Polish,TR089,444,8,Trinity College Dublin
Business and administration,Business Studies and Spanish,TR090,531,8,Trinity College Dublin
Health,General Nursing (Meath and St James`s),TR091,429,8,Trinity College Dublin
Health,General Nursing (Adelaide School of Nursing),TR093,430,8,Trinity College Dublin
Health,Mental Health Nursing,TR095,408,8,Trinity College Dublin
Health,Intellectual Disability Nursing,TR097,396,8,Trinity College Dublin
Arts,Ancient History and Archaeology/Geography,TR111,352,8,Trinity College Dublin
Arts,Ancient History and Archaeology/History,TR112,529,8,Trinity College Dublin
Arts,Ancient History and Archaeology/History of Art and Architecture,TR113,337,8,Trinity College Dublin
Arts,Ancient History and Archaeology/Modern Language,TR114,337,8,Trinity College Dublin
Arts,Ancient History and Archaeology/Religion,TR117,342,8,Trinity College Dublin
Arts,Classical Civilisation/English Literature,TR166,498,8,Trinity College Dublin
Arts,Classical Civilisation/History of Art and Architecture,TR173,335,8,Trinity College Dublin
Arts,Classical Civilisation/Modern Language,TR177,335,8,Trinity College Dublin
Arts,Classical Civilisation/Philosophy,TR179,499,8,Trinity College Dublin
Arts,Economics/Geography,TR198,534,8,Trinity College Dublin
Arts,Economics/History,TR202,534,8,Trinity College Dublin
Arts,Economics/Mathematics,TR207,566,8,Trinity College Dublin
Arts,Economics/Modern Language,TR208,534,8,Trinity College Dublin
Arts,Economics/Philosophy,TR209,534,8,Trinity College Dublin
Arts,Economics/Sociology,TR212,534,8,Trinity College Dublin
Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/English Literature,TR228,498,8,Trinity College Dublin
Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/History of Art and Architecture,TR231,349,8,Trinity College Dublin
Interdisciplinary programmes and qualifications involving arts and humanities,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,8,Trinity College Dublin
Arts,Classical Languages/Modern Language,TR239,349,8,Trinity College Dublin
Arts,English Literature/History,TR262,529,8,Trinity College Dublin
Arts,English Literature/History of Art and Architecture,TR263,498,8,Trinity College Dublin
Arts,English Literature/Philosophy,TR269,499,8,Trinity College Dublin
Arts,English Literature/Sociology,TR272,498,8,Trinity College Dublin
Arts,English Literature/Drama Studies,TR276,543,8,Trinity College Dublin
Arts,English Literature/Modern Language,TR277,498,8,Trinity College Dublin
Arts,Film/Drama Studies,TR311,557,8,Trinity College Dublin
Arts,Film/English Literature,TR312,521,8,Trinity College Dublin
Arts,Film/Music,TR320,521,8,Trinity College Dublin
Arts,Geography/History,TR322,529,8,Trinity College Dublin
Arts,Drama Studies/Modern Language,TR323,551,8,Trinity College Dublin
Arts,Film/Modern Language,TR324,521,8,Trinity College Dublin
Arts,Film/History,TR325,529,8,Trinity College Dublin
Arts,Geography/Modern Language,TR326,352,8,Trinity College Dublin
Arts,Geography/Sociology,TR332,498,8,Trinity College Dublin
Arts,History/History of Art and Architecture,TR443,529,8,Trinity College Dublin
Arts,History/Modern Language,TR447,529,8,Trinity College Dublin
Arts,History/Philosophy,TR449,529,8,Trinity College Dublin
Arts,History/Sociology,TR452,529,8,Trinity College Dublin
Arts,History/Religion,TR454,529,8,Trinity College Dublin
Arts,History of Art and Architecture/Modern Language,TR455,334,8,Trinity College Dublin
Arts,History of Art and Architecture/Philosophy,TR479,499,8,Trinity College Dublin
Arts,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,8,Trinity College Dublin
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,8,Trinity College Dublin
Arts,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,8,Trinity College Dublin
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,8,Trinity College Dublin
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,0,8,Trinity College Dublin
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,8,Trinity College Dublin
Arts,Mathematics/Modern Language,TR597,566,8,Trinity College Dublin
Arts,Mathematics/Music,TR598,566,8,Trinity College Dublin
Arts,Mathematics/Philosophy,TR599,566,8,Trinity College Dublin
Arts,Music/Philosophy,TR629,499,8,Trinity College Dublin
Arts,Music/Drama Studies,TR635,487,8,Trinity College Dublin
Arts,Music/Modern Language,TR636,388,8,Trinity College Dublin
Arts,Music/Religion,TR638,388,8,Trinity College Dublin
Arts,Philosophy/Modern Language,TR639,499,8,Trinity College Dublin
Arts,Philosophy/Sociology,TR662,499,8,Trinity College Dublin
Arts,Religion/Classical Civilisation,TR663,342,8,Trinity College Dublin
Arts,Religion/English Literature,TR664,498,8,Trinity College Dublin
Arts,Religion/History of Art and Architecture,TR665,342,8,Trinity College Dublin
Arts,Religion/Modern Language,TR666,0,8,Trinity College Dublin
Arts,French/Modern Language,TR667,403,8,Trinity College Dublin
Arts,German/Modern Language,TR668,389,8,Trinity College Dublin
Arts,Irish/Modern Language,TR669,368,8,Trinity College Dublin
Arts,Italian/Modern Language,TR670,381,8,Trinity College Dublin
Arts,Russian/Modern Language,TR671,332,8,Trinity College Dublin
Arts,Spanish/Modern Language,TR672,336,8,Trinity College Dublin
Arts,Sociology/Drama Studies,TR755,543,8,Trinity College Dublin
Arts,Sociology/Modern Language,TR756,498,8,Trinity College Dublin
Health,Dental Nursing,TR801,436,7,Trinity College Dublin
Health,Dental Hygiene,TR802,532,7,Trinity College Dublin
Health,Dental Technology,TR803,456,7,Trinity College Dublin
Health,Children`s and General Nursing (Integrated),TR911,511,8,Trinity College Dublin
Health,Midwifery,TR913,478,8,Trinity College Dublin
Engineering and engineering trades,Electronic Engineering,TU601,232,6,Technological University Dublin
Engineering and engineering trades,Computer Engineering,TU602,223,6,Technological University Dublin
Engineering and engineering trades,Mechanical Engineering,TU603,197,6,Technological University Dublin
Personal services,Bar and Restaurant Management,TU641,223,6,Technological University Dublin
Personal services,Culinary Arts,TU642,153,6,Technological University Dublin
Personal services,Culinary Arts (Professional Cookery Practice),TU643,236,6,Technological University Dublin
Personal services,Food Management and Entrepreneurship,TU644,223,6,Technological University Dublin
Manufacturing and processing,Food Science and Management,TU645,241,6,Technological University Dublin
Biological and related sciences,Applied Biology,TU651,205,6,Technological University Dublin
Information and Communication Technologies (ICTs),Computing,TU652,194,6,Technological University Dublin
Information and Communication Technologies (ICTs),Computing (Information Technology),TU653,245,6,Technological University Dublin
Health,Pharmacy Technician Studies,TU654,321,6,Technological University Dublin
Information and Communication Technologies (ICTs),Computing (Networking Technologies) Learn and Work,TU655,410,6,Technological University Dublin
Business and administration,Business,TU671,226,6,Technological University Dublin
Business and administration,Business (Common entry),TU672,180,6,Technological University Dublin
Business and administration,Business Management,TU673,300,6,Technological University Dublin
Business and administration,Business Studies,TU674,300,6,Technological University Dublin
Business and administration,Marketing,TU675,301,6,Technological University Dublin
Business and administration,Retail Management and Marketing,TU676,290,6,Technological University Dublin
Engineering and engineering trades,Automation Engineering,TU701,260,7,Technological University Dublin
Engineering and engineering trades,Biomedical Design,TU702,232,7,Technological University Dublin
Engineering and engineering trades,Building Engineering,TU703,260,7,Technological University Dublin
Architecture and construction,Civil Engineering,TU704,262,7,Technological University Dublin
Engineering and engineering trades,Electrical and Control Engineering,TU705,243,7,Technological University Dublin
Engineering and engineering trades,Electrical Services Engineering,TU706,244,7,Technological University Dublin
Engineering and engineering trades,Electronic Engineering,TU707,224,7,Technological University Dublin
Engineering and engineering trades,Engineering (Common Entry with Award options),TU708,225,7,Technological University Dublin
Engineering and engineering trades,Engineering (General Entry),TU709,370,7,Technological University Dublin
Engineering and engineering trades,Engineering Reliability Management,TU710,244,7,Technological University Dublin
Engineering and engineering trades,Mechatronic Engineering,TU711,223,7,Technological University Dublin
Engineering and engineering trades,Sustainable Energy and Environmental Engineering,TU712,180,7,Technological University Dublin
Engineering and engineering trades,Computer Engineering,TU713,221,7,Technological University Dublin
Engineering and engineering trades,Electronics and Communications Engineering,TU714,264,7,Technological University Dublin
Engineering and engineering trades,Engineering Software,TU715,181,7,Technological University Dublin
Engineering and engineering trades,Networking Technology,TU716,241,7,Technological University Dublin
Engineering and engineering trades,Mechanical Engineering,TU717,300,7,Technological University Dublin
Engineering and engineering trades,Mechanical Engineering,TU718,198,7,Technological University Dublin
Manufacturing and processing,"Design,Technology and Innovation",TU719,228,7,Technological University Dublin
Engineering and engineering trades,Automotive Management and Technology,TU720,232,7,Technological University Dublin
Engineering and engineering trades,Aviation Technology,TU721,350,7,Technological University Dublin
Manufacturing and processing,Process Instrumentation and Automation Learn and Work,TU722,292,7,Technological University Dublin
Business and administration,"Auctioneering, Valuation and Estate Agency",TU731,290,7,Technological University Dublin
Manufacturing and processing,Timber Product Technology,TU732,253,7,Technological University Dublin
Personal services,Sports Management and Coaching,TU735,270,7,Technological University Dublin
Biological and related sciences,Sports Science and Health,TU736,410,7,Technological University Dublin
Personal services,Baking and Pastry Arts Management,TU741,234,7,Technological University Dublin
Personal services,Culinary Arts,TU742,155,7,Technological University Dublin
Personal services,Hospitality Management,TU745,245,7,Technological University Dublin
Personal services,International Hospitality and Tourism Management,TU746,170,7,Technological University Dublin
Personal services,Tourism Management,TU747,242,7,Technological University Dublin
Biological and related sciences,Biosciences,TU751,407,7,Technological University Dublin
Biological and related sciences,DNA and Forensic Analysis,TU752,390,7,Technological University Dublin
Physical sciences,Industrial and Environmental Physics,TU754,270,7,Technological University Dublin
Physical sciences,Science (General Entry),TU755,361,7,Technological University Dublin
Information and Communication Technologies (ICTs),Computing,TU756,200,7,Technological University Dublin
Information and Communication Technologies (ICTs),Computing (Information Technology),TU757,225,7,Technological University Dublin
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU758,220,7,Technological University Dublin
Information and Communication Technologies (ICTs),Information Technology Management,TU759,211,7,Technological University Dublin
Biological and related sciences,Bioanalysis,TU760,204,7,Technological University Dublin
Health,Ophthalmic Dispensing,TU761,302,7,Technological University Dublin
Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,TU762,364,7,Technological University Dublin
Biological and related sciences,Pharmaceutical Science,TU763,382,7,Technological University Dublin
Business and administration,Business,TU771,224,7,Technological University Dublin
Business and administration,Business (Common Entry with Award options),TU772,317,7,Technological University Dublin
Business and administration,Management,TU774,195,7,Technological University Dublin
Business and administration,Accounting and Finance,TU775,260,7,Technological University Dublin
Business and administration,Accounting and Finance,TU776,182,7,Technological University Dublin
Business and administration,Business and Information Technology,TU777,244,7,Technological University Dublin
Business and administration,International Business,TU778,224,7,Technological University Dublin
Business and administration,International Business,TU779,180,7,Technological University Dublin
Business and administration,Advertising and Marketing Communications,TU780,179,7,Technological University Dublin
Business and administration,Digital Marketing,TU781,220,7,Technological University Dublin
Business and administration,Digital Marketing,TU782,179,7,Technological University Dublin
Business and administration,Marketing,TU783,189,7,Technological University Dublin
Welfare,Applied Social Studies in Social Care,TU791,320,7,Technological University Dublin
Social and behavioural sciences,Community and Youth Development,TU792,101,7,Technological University Dublin
Welfare,Early Childhood Care and Education,TU793,220,7,Technological University Dublin
Welfare,Early Childhood Care and Education,TU794,390,7,Technological University Dublin
Arts,Visual Merchandising and Display,TU795,481,7,Technological University Dublin
Arts,Creative Digital Media,TU796,225,7,Technological University Dublin
Engineering and engineering trades,Biomedical Design,TU801,235,8,Technological University Dublin
Engineering and engineering trades,Electrical Services and Energy Management,TU802,317,8,Technological University Dublin
Engineering and engineering trades,Electronic Engineering,TU803,243,8,Technological University Dublin
Engineering and engineering trades,Engineering (Common Entry with Award options),TU804,271,8,Technological University Dublin
Engineering and engineering trades,Engineering (General Entry),TU805,402,8,Technological University Dublin
Engineering and engineering trades,Sustainable Energy Engineering,TU806,262,8,Technological University Dublin
Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,276,8,Technological University Dublin
Engineering and engineering trades,Engineering Software,TU808,260,8,Technological University Dublin
Engineering and engineering trades,Mechanical Engineering,TU809,235,8,Technological University Dublin
Engineering and engineering trades,Mechatronic Engineering,TU810,270,8,Technological University Dublin
Arts,Product Design,TU811,411,8,Technological University Dublin
Manufacturing and processing,"Design,Technology and Innovation",TU812,270,8,Technological University Dublin
Engineering and engineering trades,Automation Engineering,TU813,218,8,Technological University Dublin
Transport services,Transport Operations and Technology,TU814,285,8,Technological University Dublin
Architecture and construction,Architectural Technology,TU831,410,8,Technological University Dublin
Architecture and construction,Architecture (Suitability Test and Interview),TU832,622,8,Technological University Dublin
Architecture and construction,Construction Management,TU833,367,8,Technological University Dublin
Architecture and construction,Geographic Science,TU834,288,8,Technological University Dublin
Architecture and construction,Planning and Environmental Management,TU835,313,8,Technological University Dublin
Architecture and construction,Property Economics (Valuation Surveying),TU836,401,8,Technological University Dublin
Architecture and construction,Quantity Surveying and Construction Economics,TU837,385,8,Technological University Dublin
Environment,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,8,Technological University Dublin
Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,476,8,Technological University Dublin
Biological and related sciences,Science (General Entry),TU854,476,8,Technological University Dublin
Physical sciences,Science with Nanotechnology,TU855,331,8,Technological University Dublin
Information and Communication Technologies (ICTs),Computer Science,TU856,476,8,Technological University Dublin
Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,391,8,Technological University Dublin
Information and Communication Technologies (ICTs),Computer Science (International),TU858,377,8,Technological University Dublin
Information and Communication Technologies (ICTs),Computing,TU859,217,8,Technological University Dublin
Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,260,8,Technological University Dublin
Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),TU861,308,8,Technological University Dublin
Information and Communication Technologies (ICTs),Computing with Data Analytics,TU862,226,8,Technological University Dublin
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,280,8,Technological University Dublin
Biological and related sciences,DNA and Forensic Analysis,TU864,400,8,Technological University Dublin
Information and Communication Technologies (ICTs),Computing with IT Management,TU865,226,8,Technological University Dublin
Health,Biomedical and Molecular Diagnostics,TU866,487,8,Technological University Dublin
Health,Biomedical Science,TU867,524,8,Technological University Dublin
Health,Clinical Measurement Science,TU868,510,8,Technological University Dublin
Hygiene and occupational health services,Environmental Health,TU869,336,8,Technological University Dublin
Health,Human Nutrition and Dietetics,TU870,578,8,Technological University Dublin
Health,Optometry,TU871,509,8,Technological University Dublin
Biological and related sciences,Public Health Nutrition,TU872,491,8,Technological University Dublin
Mathematics and statistics,Industrial Mathematics,TU873,250,8,Technological University Dublin
Mathematics and statistics,Mathematical Sciences,TU874,341,8,Technological University Dublin
Biological and related sciences,Pharmaceutical Healthcare,TU875,400,8,Technological University Dublin
Biological and related sciences,Pharmaceutical Science,TU876,377,8,Technological University Dublin
Physical sciences,Physics Technology,TU877,308,8,Technological University Dublin
Physical sciences,Physics with Energy and Environment,TU878,337,8,Technological University Dublin
Health,Physics with Medical Physics and Bioengineering,TU879,351,8,Technological University Dublin
Physical sciences,Physics with Data Science,TU880,578,8,Technological University Dublin
Manufacturing and processing,Food Innovation,TU881,318,8,Technological University Dublin
Biological and related sciences,Nutraceuticals in Health and Nutrition,TU882,397,8,Technological University Dublin
Business and administration,Business,TU901,270,8,Technological University Dublin
Business and administration,Business (Common Entry with Award options),TU902,271,8,Technological University Dublin
Business and administration,Business and Management,TU903,463,8,Technological University Dublin
Business and administration,Business and Law,TU904,462,8,Technological University Dublin
Social and behavioural sciences,Economics and Finance,TU905,465,8,Technological University Dublin
Business and administration,Human Resource Management,TU906,395,8,Technological University Dublin
Business and administration,Logistics and Supply Chain Management,TU907,300,8,Technological University Dublin
Business and administration,Management,TU908,262,8,Technological University Dublin
Business and administration,Accounting and Finance,TU909,285,8,Technological University Dublin
Business and administration,Accounting and Finance,TU910,444,8,Technological University Dublin
Business and administration,Accounting and Finance,TU911,209,8,Technological University Dublin
Information and Communication Technologies (ICTs),Business Analytics,TU912,330,8,Technological University Dublin
Business and administration,Business and Information Technology,TU913,252,8,Technological University Dublin
Information and Communication Technologies (ICTs),Business Computing,TU914,324,8,Technological University Dublin
Business and administration,International Business,TU915,252,8,Technological University Dublin
Business and administration,International Business,TU916,235,8,Technological University Dublin
Law,Law (LLB ) with a Language,TU917,342,8,Technological University Dublin
Law,Law (LLB),TU918,451,8,Technological University Dublin
Business and administration,Advertising and Marketing Communications,TU919,228,8,Technological University Dublin
Business and administration,Digital Marketing,TU920,270,8,Technological University Dublin
Business and administration,Digital Marketing Technologies,TU921,212,8,Technological University Dublin
Business and administration,Marketing,TU922,418,8,Technological University Dublin
Business and administration,Marketing Management,TU923,228,8,Technological University Dublin
Business and administration,E-Commerce in Retailing,TU924,307,8,Technological University Dublin
Business and administration,Retail and Services Management,TU925,301,8,Technological University Dublin
Personal services,Sports Management and Coaching,TU935,300,8,Technological University Dublin
Biological and related sciences,Sports Science and Health,TU936,410,8,Technological University Dublin
Personal services,Botanical Cuisine,TU941,249,8,Technological University Dublin
Personal services,Culinary Arts,TU942,212,8,Technological University Dublin
Personal services,Culinary Entrepreneurship,TU943,278,8,Technological University Dublin
Personal services,Culinary Science,TU944,316,8,Technological University Dublin
Personal services,International Hospitality and Tourism Management,TU951,184,8,Technological University Dublin
Personal services,International Hospitality Management,TU952,300,8,Technological University Dublin
Personal services,Tourism and Digital Marketing,TU953,290,8,Technological University Dublin
Personal services,Event Management,TU954,356,8,Technological University Dublin
Personal services,Sports & Leisure Management,TU955,217,8,Technological University Dublin
Arts,Commercial Modern Music,TU961,608,8,Technological University Dublin
Arts,Drama (Performance),TU962,379,8,Technological University Dublin
Arts,Music,TU963,416,8,Technological University Dublin
Business and administration,International Business and Languages,TU965,356,8,Technological University Dublin
Languages,Languages and English Studies,TU966,366,8,Technological University Dublin
Arts,Languages and International Tourism,TU967,308,8,Technological University Dublin
Arts,Contemporary Visual Culture,TU971,290,8,Technological University Dublin
Arts,Creative and Cultural Industries,TU972,281,8,Technological University Dublin
Arts,Design - Visual Communication,TU973,717,8,Technological University Dublin
Arts,Fine Art,TU974,709,8,Technological University Dublin
Arts,Interior Design,TU975,632,8,Technological University Dublin
Arts,Photography,TU976,695,8,Technological University Dublin
Arts,Creative Digital Media,TU981,280,8,Technological University Dublin
Arts,Creative Digital Media,TU982,320,8,Technological University Dublin
Arts,Film and Broadcasting,TU983,456,8,Technological University Dublin
Information and Communication Technologies (ICTs),Game Design,TU984,381,8,Technological University Dublin
Journalism and information,Journalism,TU985,322,8,Technological University Dublin
Business and administration,Print Media Technology and Management,TU986,289,8,Technological University Dublin
Welfare,Applied Social Studies in Social Care,TU991,325,8,Technological University Dublin
Social and behavioural sciences,Community and Youth Development,TU992,251,8,Technological University Dublin
Welfare,Early Childhood Care and Education,TU993,270,8,Technological University Dublin
Welfare,Early Childhood Care and Education,TU994,321,8,Technological University Dublin
Education,Early Childhood Education,TU995,367,8,Technological University Dublin
Social and behavioural sciences,Social Care,TU996,400,8,Technological University Dublin
Welfare,Applied Social Care,TU997,310,8,Technological University Dublin
Information and Communication Technologies (ICTs),Applied Computing (options),WD001,260,8,Waterford Institute of Technology
Physical sciences,Science (options),WD002,308,8,Waterford Institute of Technology
Business and administration,Business,WD003,372,6,Waterford Institute of Technology
Health,Health Sciences (options),WD005,280,8,Waterford Institute of Technology
Personal services,Exercise Sciences (options),WD006,280,8,Waterford Institute of Technology
Engineering and engineering trades,Engineering (options),WD007,288,8,Waterford Institute of Technology
Engineering and engineering trades,Electronic Engineering,WD010,181,6,Waterford Institute of Technology
Engineering and engineering trades,Mechanical Engineering,WD011,198,6,Waterford Institute of Technology
Law,Legal Studies,WD013,177,6,Waterford Institute of Technology
Welfare,Applied Social Care,WD018,171,7,Waterford Institute of Technology
Personal services,Recreation and Sport Management,WD019,174,7,Waterford Institute of Technology
Architecture and construction,Construction Management and Engineering,WD025,269,8,Waterford Institute of Technology
Arts,Music,WD027,262,8,Waterford Institute of Technology
Business and administration,Business (options),WD048,271,8,Waterford Institute of Technology
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,WD076,243,7,Waterford Institute of Technology
Business and administration,Accounting,WD084,308,8,Waterford Institute of Technology
Personal services,Hospitality Management,WD091,228,8,Waterford Institute of Technology
Architecture and construction,Architectural Technology,WD094,166,7,Waterford Institute of Technology
Agriculture,Horticulture (Waterford - Kildalton),WD096,260,7,Waterford Institute of Technology
Agriculture,Horticulture (Dublin - National Botanic Gardens),WD097,408,7,Waterford Institute of Technology
Health,General Nursing,WD116,422,8,Waterford Institute of Technology
Health,Psychiatric Nursing,WD117,366,8,Waterford Institute of Technology
Health,Intellectual Disability Nursing,WD120,377,8,Waterford Institute of Technology
Agriculture,Agriculture,WD126,327,7,Waterford Institute of Technology
Business and administration,International Business,WD134,290,8,Waterford Institute of Technology
Arts,Design (Visual Communications),WD137,271,8,Waterford Institute of Technology
Architecture and construction,Civil Engineering,WD139,206,7,Waterford Institute of Technology
Law,Laws,WD140,280,8,Waterford Institute of Technology
Architecture and construction,Architecture,WD144,284,8,Waterford Institute of Technology
Physical sciences,Pharmaceutical Science,WD147,293,8,Waterford Institute of Technology
Welfare,Early Childhood Studies,WD149,271,8,Waterford Institute of Technology
Law,Criminal Justice Studies,WD150,270,8,Waterford Institute of Technology
Information and Communication Technologies (ICTs),Software Systems Development,WD151,356,7,Waterford Institute of Technology
Arts,Visual Art,WD152,317,8,Waterford Institute of Technology
Information and Communication Technologies (ICTs),Multimedia Applications Development,WD153,163,7,Waterford Institute of Technology
Information and Communication Technologies (ICTs),Information Technology,WD155,211,7,Waterford Institute of Technology
Business and administration,Business,WD159,195,7,Waterford Institute of Technology
Information and Communication Technologies (ICTs),Computer Forensics and Security,WD161,255,8,Waterford Institute of Technology
Architecture and construction,Quantity Surveying,WD162,216,8,Waterford Institute of Technology
Social and behavioural sciences,Psychology,WD163,434,8,Waterford Institute of Technology
Biological and related sciences,Food Science with Business,WD164,309,7,Waterford Institute of Technology
Personal services,Culinary Arts,WD172,301,6,Waterford Institute of Technology
Personal services,Hospitality Studies,WD173,310,6,Waterford Institute of Technology
Personal services,Tourism,WD174,226,6,Waterford Institute of Technology
Physical sciences,Pharmaceutical Science,WD175,226,7,Waterford Institute of Technology
Biological and related sciences,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",WD177,222,7,Waterford Institute of Technology
Engineering and engineering trades,Electrical Engineering,WD182,302,7,Waterford Institute of Technology
Business and administration,Retail Management,WD184,163,7,Waterford Institute of Technology
Personal services,Sports Coaching and Performance,WD186,270,8,Waterford Institute of Technology
Welfare,Social Science,WD187,272,8,Waterford Institute of Technology
Health,Applied Health Care,WD188,201,7,Waterford Institute of Technology
Agriculture,Agricultural Science,WD191,377,8,Waterford Institute of Technology
Welfare,Social Care Practice,WD192,270,8,Waterford Institute of Technology
Business and administration,Marketing and Digital Media,WD193,271,8,Waterford Institute of Technology
Personal services,Culinary Arts,WD194,217,8,Waterford Institute of Technology
Architecture and construction,Architectural and Building Information Modelling Technology,WD195,279,8,Waterford Institute of Technology
Arts,Arts (options),WD200,336,8,Waterford Institute of Technology
Health,Molecular Biology with Biopharmaceutical Science,WD205,228,7,Waterford Institute of Technology
Engineering and engineering trades,Electronic Engineering,WD206,179,7,Waterford Institute of Technology
Engineering and engineering trades,Mechanical Engineering,WD207,198,7,Waterford Institute of Technology
Manufacturing and processing,Manufacturing Engineering,WD208,188,7,Waterford Institute of Technology
Information and Communication Technologies (ICTs),Software Systems Development,WD210,279,8,Waterford Institute of Technology
Information and Communication Technologies (ICTs),Creative Computing,WD211,271,8,Waterford Institute of Technology
Personal services,Recreation and Sport Management,WD212,270,8,Waterford Institute of Technology
Engineering and engineering trades,Mechanical and Manufacturing Engineering,WD230,253,8,Waterford Institute of Technology
